1,200,baseline,529
1,400,baseline,1180
1,600,baseline,1410
1,800,baseline,2561
1,1000,baseline,2557
10,200,baseline,1627
10,400,baseline,2827
10,600,baseline,4105
10,800,baseline,5194
10,1000,baseline,6467
50,200,baseline,5824
50,400,baseline,10134
50,600,baseline,14482
50,800,baseline,19645
50,1000,baseline,23254
100,200,baseline,10700
100,400,baseline,19249
100,600,baseline,26724
100,800,baseline,34727
100,1000,baseline,42969
1,200,custPrefixed,595
1,400,custPrefixed,1052
1,600,custPrefixed,1495
1,800,custPrefixed,2004
1,1000,custPrefixed,2430
10,200,custPrefixed,1914
10,400,custPrefixed,3436
10,600,custPrefixed,4896
10,800,custPrefixed,6260
10,1000,custPrefixed,7735
50,200,custPrefixed,6573
50,400,custPrefixed,12751
50,600,custPrefixed,17210
50,800,custPrefixed,23198
50,1000,custPrefixed,28314
100,200,custPrefixed,14131
100,400,custPrefixed,23476
100,600,custPrefixed,35002
100,800,custPrefixed,43539
100,1000,custPrefixed,55277
1,200,seqPrefixed,533
1,400,seqPrefixed,972
1,600,seqPrefixed,1420
1,800,seqPrefixed,1935
1,1000,seqPrefixed,2159
10,200,seqPrefixed,1717
10,400,seqPrefixed,3431
10,600,seqPrefixed,4724
10,800,seqPrefixed,5574
10,1000,seqPrefixed,7378
50,200,seqPrefixed,6036
50,400,seqPrefixed,10839
50,600,seqPrefixed,16346
50,800,seqPrefixed,22750
50,1000,seqPrefixed,25068
100,200,seqPrefixed,10109
100,400,seqPrefixed,19801
100,600,seqPrefixed,28886
100,800,seqPrefixed,37546
100,1000,seqPrefixed,48068
